# lemma	paradigms	pos — from apertium-kaz's lexc, tools/apertium_paradigms.py
,	DIGITLEX,LASTDIGIT,LASTDIGIT-REST,POWERS	?
-ақ	POSTADV	?
.	DIGITLEX,LASTDIGIT,LASTDIGIT-REST,POWERS	?
0	LOOP,NUM	num
00	NUM-DIGIT	num
000	NUM-DIGIT	num
1	LOOP,NUM-DIGIT	num
10	NUM-DIGIT	num
2	LOOP,NUM-DIGIT	num
20	NUM-DIGIT	num
3	LOOP,NUM-DIGIT	num
30	NUM-DIGIT	num
4	LOOP,NUM-DIGIT	num
40	NUM-DIGIT	num
5	LOOP,NUM-DIGIT	num
50	NUM-DIGIT	num
6	LOOP,NUM-DIGIT	num
60	NUM-DIGIT	num
7	LOOP,NUM-DIGIT	num
70	NUM-DIGIT	num
8	LOOP,NUM-DIGIT	num
80	NUM-DIGIT	num
9	LOOP,NUM-DIGIT	num
90	NUM-DIGIT	num
A	GUESS-QUEUE	?
ABBA	NP-ORG-LAT	np
ABC	NP-ORG-LAT	np
ACLU	NP-ORG-LAT	np
AFP	ABBR	abbr
AMD	NP-ORG-LAT	np
ANP	ABBR	abbr
AOL	NP-ORG-LAT	np
ASCII	NP-ORG-LAT	np
ATP	ABBR	abbr
Adobe	NP-ORG-LAT	np
Airbus	NP-ORG-LAT	np
Ajax	NP-ORG-LAT	np
Alma	NP-ANT-F	np
Althea	NP-ORG-LAT	np
Amiga	NP-ORG-LAT	np
Amnesty%	NP-ORG-LAT	np
Amway	NP-ORG-LAT	np
Aon	NP-ORG-LAT	np
Apertium	NP-AL	np
Atari	NP-ORG-LAT	np
Audi	NP-ORG-LAT	np
Autodesk	NP-ORG-LAT	np
AББ	ABBR,N1	abbr+n
Aйтғали	NP-ANT-M	np
B	GUESS-QUEUE	?
BAE	ABBR	abbr
BG	ABBR	abbr
BP	ABBR	abbr
Beatles	NP-AL	np
C	GUESS-QUEUE,NUM-ROMAN	?
CAM	ABBR	abbr
CCTV	ABBR	abbr
CD	ABBR	abbr
CEZ	ABBR	abbr
CGI	ABBR	abbr
CNPC	ABBR	abbr
Camus	NP-ORG-LAT	np
Chevron%	NP-ORG-LAT	np
Christie	NP-ORG-LAT	np
Columbia	NP-ORG-LAT	np
Company	NP-ORG-LAT	np
Conoco	NP-ORG-LAT	np
Consolidated%	NP-ORG-LAT	np
D	GUESS-QUEUE,NUM-ROMAN	?
DC	NUM-ROMAN	?
DVD	ABBR	abbr
E	GUESS-QUEUE	?
EITI	ABBR	abbr
EPO	ABBR	abbr
ER	ABBR	abbr
Efe	NP-ORG-LAT	np
Endesa	NP-ORG-LAT	np
Erasmus	NP-AL	np
Ericsson	NP-ORG-LAT	np
Ethernet	N1	n
Eurovision	NP-AL	np
Expo	NP-AL	np
Exxon	NP-ORG-LAT	np
Exxon%	NP-ORG-LAT	np
F	GUESS-QUEUE	?
FARC	ABBR	abbr
FBI	ABBR	abbr
Facebook	NP-ORG-LAT	np
Freedom%	NP-ORG-LAT	np
Friendfeed	NP-ORG-LAT	np
G	GUESS-QUEUE	?
GP	ABBR	abbr
GPS	ABBR	abbr
Global	NP-AL	np
Google	NP-ORG-LAT	np
Group	NP-AL	np
Guardian	NP-ORG-LAT	np
H	GUESS-QUEUE	?
HAS	ABBR	abbr
HIV	ABBR	abbr
HRH	ABBR	abbr
Halal	NP-AL	np
I	NUM-ROMAN	?
IBM	NP-ORG-LAT	np
IC	N1	n
ICU	ABBR	abbr
IDF	ABBR	abbr
II	NUM-ROMAN	?
III	NUM-ROMAN	?
IMD	ABBR	abbr
IME	ABBR	abbr
INSEE	NP-ORG-LAT	np
IP	ABBR	abbr
ISO	ABBR	abbr
IV	NUM-ROMAN	?
IX	NUM-ROMAN	?
Iberdrola	NP-ORG-LAT	np
Inc	NP-ORG-LAT	np
Independent	NP-AL	np
Inpex	NP-ORG-LAT	np
Instructables	NP-ORG-LAT	np
Investment	NP-ORG-LAT	np
Ipad	NP-ORG-LAT	np
J	GUESS-QUEUE	?
Javascript	NP-ORG-LAT	np
Jenington	NP-ORG-LAT	np
K	GUESS-QUEUE	?
KPO	ABBR	abbr
KZ	ABBR	abbr
Karachaganak%	NP-ORG-LAT	np
Kaz	ABBR	abbr
KazakhGold	NP-ORG-LAT	np
Kazakhmys	NP-ORG-LAT	np
Kazakhmys%	NP-ORG-LAT	np
Kazakhstan	NP-AL	np
L	GUESS-QUEUE,NUM-ROMAN	?
Leaks	NP-AL	np
Limited	NP-ORG-LAT	np
Linux	NP-ORG-LAT	np
Ltd	NP-ORG-LAT	np
M	GUESS-QUEUE,NUM-ROMAN	?
MGM	ABBR	abbr
MRI	ABBR,N1	abbr+n
Metallica	NP-ORG-LAT	np
Mobil	NP-AL,NP-ORG-LAT	np
Mozilla	NP-ORG-LAT	np
MySpace	NP-ORG-LAT	np
N	GUESS-QUEUE	?
NASA	ABBR	abbr
NBA	ABBR	abbr
NBC	ABBR	abbr
NDS	ABBR	abbr
NGC	NP-ORG-LAT	np
NGO	NP-ORG-LAT	np
Nauryz	NP-AL	np
New%	NP-AL	np
News%	NP-AL	np
Nike	NP-ORG-LAT	np
Nokia	NP-ORG-LAT	np
O	GUESS-QUEUE	?
OHL	ABBR	abbr
OMLT	ABBR	abbr
Operating	NP-ORG-LAT	np
P	GUESS-QUEUE	?
PDA	ABBR	abbr
PKK	ABBR	abbr
PSM	ABBR,N1	abbr+n
PSP	ABBR	abbr
Petroleum	NP-AL,NP-ORG-LAT	np
Plc	NP-ORG-LAT	np
Q	GUESS-QUEUE	?
R	GUESS-QUEUE	?
RAF	ABBR	abbr
RSS	ABBR	abbr
RTL	ABBR	abbr
S	GUESS-QUEUE	?
SAS	ABBR	abbr
SCAT	NP-ORG-LAT	np
SFOR	NP-ORG-LAT	np
SME	ABBR	abbr
SMS	ABBR	abbr
Shell	NP-ORG-LAT	np
T	GUESS-QUEUE	?
TNT	ABBR	abbr
Time	NP-AL	np
Times	NP-AL	np
Twitter	NP-ORG-LAT	np
U	GUESS-QUEUE	?
UDF	ABBR	abbr
UEFA	ABBR	abbr
USB	ABBR	abbr
UTC	ABBR	abbr
V	GUESS-QUEUE,NUM-ROMAN	?
VI	NUM-ROMAN	?
VII	NUM-ROMAN	?
VIII	NUM-ROMAN	?
W	GUESS-QUEUE	?
Warner	NP-ORG-LAT	np
Wiki	NP-AL	np
WikiLeaks	NP-AL	np
Witness	NP-AL	np
Wordpress	NP-ORG-LAT	np
Wrigley	NP-ORG-LAT	np
X	GUESS-QUEUE,NUM-ROMAN	?
XI	NUM-ROMAN	?
XII	NUM-ROMAN	?
XIII	NUM-ROMAN	?
XIV	NUM-ROMAN	?
XIX	NUM-ROMAN	?
XV	NUM-ROMAN	?
XVI	NUM-ROMAN	?
XVII	NUM-ROMAN	?
XVIII	NUM-ROMAN	?
XX	NUM-ROMAN	?
XXI	NUM-ROMAN	?
Y	GUESS-QUEUE	?
Yahoo	NP-AL	np
YouTube	NP-ORG-LAT	np
Z	GUESS-QUEUE	?
ZDF	ABBR	abbr
cәуір	N1	n
http	ABBR	abbr
iPhone	NP-ORG-LAT	np
iPod	NP-ORG-LAT	np
iс	V-IV	v-intrans
iш%	N1	n
kPa	ABBR	abbr
kz	ABBR	abbr
oномастикалық	A1	adj
ppm	ABBR,N1	abbr+n
retroactive	A1	adj
x	ABBR	abbr
yahoo	NP-ORG-LAT	np
əріпті-санды	A4	adj
ІІМ	ABBR	abbr
Ібни	NP-ANT-M	np
Ізбасар	NP-ANT-M	np
