# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates, not entries: read them before admitting them.
# `bare` is how many books write the stem on its own.
москва	21	17	1096	555
начальник	28	15	100	240
состав	32	17	117	238
алысырақ	7	4	115	235
положение	13	11	38	232
перевод	15	9	41	200
число	5	5	13	194
собрание	10	8	38	188
өспірім	8	4	53	186
известия	4	4	12	176
общество	8	6	15	167
строй	5	4	9	146
дружба	3	3	6	145
учитель	27	15	79	143
сұлтанмахмұт	11	7	33	139
зейнолла	8	7	44	137
потанин	17	11	101	136
управление	4	4	16	136
чиновник	35	18	332	132
көнекөз	15	7	36	132
ситуация	34	24	250	126
авторитет	10	6	23	124
қарақошқыл	8	5	30	122
фрунзе	6	6	59	118
настроение	3	3	7	117
міржақып	21	11	89	116
оренбург	5	3	52	116
жұмағали	6	3	11	116
жандәрмен	4	3	10	111
отделение	8	8	26	110
орманбет	7	4	26	109
доклад	15	7	17	107
вестник	6	3	7	107
толыбай	7	6	75	106
аттанбақ	8	5	99	104
қаракөлеңке	8	7	73	102
бартольд	6	4	40	102
протокол	26	15	103	101
қарадүрсін	10	6	16	101
парторг	14	8	49	98
маңғышлақ	13	6	67	93
ғабиден	5	4	19	93
советник	12	5	17	93
тәттімбет	9	5	30	92
долгий	3	3	18	92
автомашина	29	19	181	90
минутте	13	11	160	90
священник	32	16	151	90
моисей	5	4	26	90
колчак	15	8	110	89
фирдоуси	10	7	71	88
художник	6	3	13	86
күншуақ	16	9	160	84
голощекин	20	12	145	83
маяковский	9	7	87	83
ашхабад	15	8	87	82
прометей	11	9	70	80
пайдаланбақ	5	3	18	79
қамкөңіл	8	3	13	78
ауэзов	3	3	113	77
листок	7	3	7	77
тайбурыл	22	10	168	76
правление	5	5	12	75
мұстафин	10	6	70	73
мырзабек	9	4	29	73
бекхожин	8	6	39	72
оборот	3	3	7	72
есенин	9	7	61	71
министерство	4	4	12	71
жұмекен	11	8	51	70
иассауи	6	3	37	70
разведка	12	9	31	70
кровать	6	3	8	70
кружка	14	11	59	69
қараменде	9	7	45	69
затаевич	15	8	73	68
дәулеткерей	6	5	45	68
рахымжан	6	4	21	68
қарақалпақстан	8	6	113	67
сырлыбай	7	6	54	67
замок	23	11	33	67
океан	9	5	13	66
петровна	5	5	52	65
записка	14	10	42	65
березин	7	6	34	65
жароков	10	5	27	65
постановка	22	16	60	64
жангелдин	8	5	50	64
колорит	19	12	69	63
оңғарсынова	4	4	33	63
семенович	11	5	22	63
ілгерірек	6	3	42	62
энтузиазм	13	8	34	61
бейсембай	8	6	27	61
есенжанов	8	5	44	60
ақжүніс	7	5	43	60
щедрин	12	7	39	60
қараөткел	14	6	89	59
үйленбек	5	4	61	59
юбилей	8	6	39	58
айбергенов	5	3	17	58
справка	5	4	10	58
перовский	4	3	39	57
тельман	6	5	24	57
бозжігіт	4	3	18	57
қырғиқабақ	8	4	15	57
огонек	7	3	9	57
командование	11	10	72	56
төрехан	6	5	35	56
сәттіғұл	15	6	29	56
қызылқоға	4	4	19	56
бәсентиін	3	3	16	56
гюго	7	6	54	55
тбилиси	9	6	37	55
васильевна	4	4	31	55
телағыс	10	6	28	55
мырзағұл	11	4	24	55
рақымжан	6	5	21	55
монтескье	3	3	16	55
ғұбайдолла	3	3	12	54
талтүс	7	4	116	53
тобанияз	18	9	69	53
комсомолец	20	10	50	53
иманжанов	6	4	27	53
медсестра	10	7	27	53
нұрмағамбет	4	3	12	52
сужүрек	7	3	10	52
жиембет	6	3	7	52
нарынқол	15	8	53	51
москвич	16	8	49	51
шолохов	14	7	57	50
есенберлин	8	4	55	50
гераклит	11	7	49	50
одиссей	7	6	43	50
лейбниц	10	5	39	50
есенқұл	13	5	31	50
әбілмәжін	4	4	11	50
аркадий	4	3	9	50
константинович	5	3	9	50
максимович	5	3	7	50
этноним	46	28	299	49
оригинал	18	10	61	49
ақбөбек	16	8	53	49
төртқара	16	12	53	49
домбауыл	13	6	41	49
кемпірбай	6	5	31	49
мирзоян	3	3	31	49
шәңгерей	9	7	30	49
губкин	9	5	26	49
төремұрат	6	4	15	49
бердіқожа	4	3	13	49
пруссия	9	9	72	48
қожағұл	11	4	26	48
мырзағалиев	7	3	14	48
қарабұғаз	16	8	116	47
тоқтарбай	9	8	49	47
ильминский	9	6	44	47
алекторов	8	6	38	47
троцкий	9	7	38	47
әлімқұлов	9	5	35	47
аллатағала	3	3	31	47
жуковский	4	3	26	47
құлбарақ	10	4	26	47
володя	5	5	21	47
неках	15	8	16	47
қашғари	6	3	14	47
бердияров	8	3	13	47
мастерской	20	13	51	46
қалнияз	15	7	35	46
өмірзақов	12	6	29	46
майлықожа	3	3	12	46
крепостной	6	3	9	46
керенский	7	5	54	45
коперник	12	7	48	45
назарбек	11	5	31	45
оразов	9	5	27	45
қырықмылтық	11	5	17	45
бурный	4	3	10	45
подруга	3	3	8	45
усадьба	22	16	102	44
одиссея	12	11	81	44
кипчак	3	3	29	44
макиавелли	6	3	24	44
құдайбердиев	10	4	23	44
жантөре	3	3	21	44
майлыбай	6	5	21	44
ұзынағаш	10	5	54	43
мергенбай	7	5	24	43
тұрмағамбет	6	3	6	43
рубасы	25	13	113	42
совдеп	24	14	107	42
больница	10	8	51	42
нұрбике	5	5	45	42
плутарх	10	5	36	42
брусиловский	5	4	35	42
панисламизм	8	5	28	42
сейдімбек	7	3	22	42
столовой	3	3	6	42
фихте	7	6	44	41
фетисов	10	6	31	41
колпаковский	4	3	25	41
бегалин	6	3	23	41
ақбура	4	4	22	41
сағидолла	4	4	20	41
жанжігіт	8	5	16	41
өтегенов	6	3	8	41
қараниет	6	3	6	41
шардара	11	9	58	40
скульптура	18	14	51	40
жанбота	13	11	50	40
стражник	20	10	42	40
бородино	9	8	24	40
бичурин	4	3	23	40
көркемсөз	13	7	23	40
вельяминов	5	3	13	40
рубеж	5	3	10	40
тереңөзек	9	4	8	40
галстугі	8	10	122	39
кеңсай	6	5	56	39
қараүлек	13	7	52	39
сарыөзек	13	6	37	39
павловна	4	4	23	39
дәуітбай	6	4	22	39
приказчик	10	5	22	39
успенский	7	5	21	39
өтесінов	8	4	16	39
ерзакович	6	3	14	39
эксплуатация	4	4	13	39
насреддин	3	3	6	39
жаманқара	8	8	31	38
саксон	11	6	20	38
жолымбет	6	4	18	38
кляшторный	4	3	10	38
алмайтұғын	6	4	8	38
культі	4	4	82	37
бородин	8	5	33	37
тұщықұдық	11	6	26	37
қарадомалақ	14	7	24	37
кубань	11	6	20	37
ташауыз	8	4	17	37
өзбекқалиев	8	4	15	37
бекович	7	3	12	37
жетпісбай	5	3	9	37
флоренция	8	9	59	36
үйренбек	7	4	26	36
ассирия	4	4	18	36
страбон	5	4	16	36
күлімкөз	10	5	13	36
шаймерден	3	3	13	36
спираль	9	4	12	36
бекмырза	3	3	11	36
конфискация	4	4	11	36
повестка	3	3	11	36
федоровна	4	4	10	36
афанасий	6	4	8	36
файзолла	3	3	8	36
көкшолақ	11	5	41	35
баркөл	14	6	38	35
келдібек	10	4	31	35
ататүрік	8	4	25	35
мырзашөл	14	6	23	35
япония	6	6	21	35
есенғұл	9	4	18	35
сарыауыз	7	4	12	35
поволжье	4	4	11	35
қарамандыбас	5	3	8	35
афрасиаб	10	7	49	34
месопотамия	7	7	47	34
марқакөл	12	5	36	34
жанкелдин	7	4	28	34
сүйінқара	4	4	24	34
геракл	10	5	23	34
ұлықпан	5	4	21	34
тұрағұл	11	4	19	34
көшербай	5	4	15	34
бекарыстан	4	4	12	34
крупская	3	3	12	34
сәрсекеев	7	3	12	34
құнанорыс	7	3	7	34
қоритын	6	3	6	34
карфаген	12	8	56	33
кутузов	10	5	28	33
ходжент	9	5	27	33
қаражанбас	7	4	25	33
кембридж	11	6	20	33
сауытбек	12	6	19	33
төлегетай	5	4	16	33
петровский	5	4	12	33
зритель	7	3	11	33
мыңбұлақ	15	7	55	32
рысқұл	19	10	48	32
долгополов	18	10	47	32
самодержавие	6	6	40	32
сүйінғара	8	7	40	32
ахметбек	13	6	31	32
маңғыстаумұнайгаз	9	5	26	32
полтава	7	6	24	32
гоббс	7	4	22	32
