# given	admitted	docs_given	docs_admitted — Russian-document spellings
# replaced by the Kazakh spelling the books show people writing
абдеш	әбдеш	3	19
абдибеков	әбдібеков	0	4
абдигалиев	әбдіғалиев	0	4
абдигани	әбдіғани	0	3
абдикадыров	әбдіқадыров	2	25
абдикерим	әбдікерім	0	29
абдилда	әбділда	10	146
абдимурат	әбдімұрат	0	7
абдиразаков	әбдіразақов	0	26
абдираманов	әбдіраманов	0	6
абдирахим	әбдірахим	0	4
абдирахманов	әбдірахманов	2	49
абдиров	әбдіров	6	29
абен	әбен	6	81
абенов	әбенов	8	49
абжаппар	әбжаппар	0	3
абикен	әбікен	0	37
абилбек	әбілбек	0	9
абилда	әбілда	0	16
абилжан	әбілжан	0	6
абилкасымов	әбілқасымов	2	17
абилмансур	әбілмансұр	0	58
абилов	әбілов	4	22
абилтай	әбілтай	0	12
абилхайыр	әбілхайыр	0	99
абиш	әбіш	59	266
абсадык	әбсадық	0	3
абсаттар	әбсаттар	2	21
абсеметов	әбсеметов	0	4
абугали	абуғали	0	3
агайша	ағайша	0	8
агжан	ағжан	0	9
агила	ағила	0	4
агыбай	ағыбай	4	81
адилбаев	әділбаев	0	10
адилбай	әділбай	0	14
адилбек	әділбек	0	69
адилбеков	әділбеков	0	8
адилов	әділов	6	33
адилханов	әділханов	0	10
ажибек	әжібек	0	15
азимбай	әзімбай	4	64
азимбек	әзімбек	0	7
азимхан	әзімхан	8	33
айганым	айғаным	3	41
айгулим	айгүлім	0	6
айкоркем	айкөркем	0	3
айкыз	айқыз	0	10
аймагамбетов	аймағамбетов	2	9
айнамкоз	айнамкөз	0	20
айсултан	айсұлтан	0	8
айтказин	айтқазин	0	5
айткалиев	айтқалиев	0	3
айткожа	айтқожа	0	32
айткул	айтқұл	0	29
айтмагамбет	айтмағамбет	0	6
айтмаганбет	айтмағанбет	0	11
айтмухамбет	айтмұхамбет	0	6
айтмуханбет	айтмұханбет	0	3
айтолкын	айтолқын	0	18
айторе	айтөре	0	4
айымкул	айымкүл	0	7
акадил	ақәділ	0	7
акалтын	ақалтын	0	3
аканов	ақанов	0	4
акансери	ақансері	0	6
акару	ақару	0	3
акарыс	ақарыс	0	43
акатай	ақатай	0	24
акбаев	ақбаев	9	41
акбаян	ақбаян	0	5
акберген	ақберген	3	18
акбиби	ақбибі	0	15
акбике	ақбике	0	8
акбобек	ақбөбек	3	49
акбопе	ақбөпе	0	23
акдаулет	ақдәулет	0	13
акдидар	ақдидар	0	3
акерке	ақерке	3	18
акжайык	ақжайық	0	44
акжамал	ақжамал	0	6
акжунис	ақжүніс	0	60
акзер	ақзер	2	12
акзира	ақзира	0	3
акимбай	әкімбай	2	8
акимбек	әкімбек	0	24
акимжан	әкімжан	0	8
акимхан	әкімхан	0	4
аккали	аққали	0	7
аккенже	ақкенже	3	21
аккербез	ақкербез	0	4
аккумис	ақкүміс	0	10
акмаржан	ақмаржан	0	15
акмоншак	ақмоншақ	2	38
акнур	ақнұр	0	6
аксай	ақсай	10	111
аксауле	ақсәуле	0	11
аксулу	ақсұлу	2	29
актаев	ақтаев	3	12
актолкын	ақтолқын	0	17
акторе	ақтөре	0	11
актоты	ақтоты	4	17
акуштап	ақұштап	3	18
акшабаев	ақшабаев	0	10
акшолаков	ақшолақов	2	18
акшолпан	ақшолпан	0	33
акылбеков	ақылбеков	0	7
акышев	ақышев	3	39
алгазы	алғазы	0	12
алдонгар	алдоңғар	3	24
алжанов	әлжанов	3	35
алибаев	әлібаев	4	27
алибай	әлібай	7	31
алибек	әлібек	15	157
алижан	әлижан	0	3
алимбаев	әлімбаев	11	54
алимбай	әлімбай	6	45
алимбек	әлімбек	3	32
алимбет	әлімбет	0	22
алимбетов	әлімбетов	4	21
алимгазы	әлімғазы	0	7
алимхан	әлімхан	5	50
алипбаев	әліпбаев	0	3
алипбай	әліпбай	0	9
алипбек	әліпбек	0	7
алкен	әлкен	0	9
алкуат	әлқуат	2	17
алмагул	алмагүл	2	17
алмурат	әлмұрат	0	8
алтынгул	алтынгүл	0	7
амангалиев	аманғалиев	2	9
амандыков	амандықов	3	15
аманкелди	аманкелді	0	120
аманкос	аманқос	6	36
аманкул	аманқұл	2	23
амантурлы	амантұрлы	0	17
амзе	әмзе	0	29
амирбай	әмірбай	0	3
амирбеков	әмірбеков	0	6
амиргали	әмірғали	0	6
амиржан	әміржан	4	32
амиржанов	әміржанов	0	5
амиртай	әміртай	0	6
амирхан	әмірхан	4	52
амирханов	әмірханов	2	9
анел	әнел	0	9
анет	әнет	9	92
анипа	әнипа	2	12
ания	әния	0	5
ансаганым	аңсағаным	0	48
ануарбек	әнуарбек	2	56
аргынбай	арғынбай	2	39
аргынбек	арғынбек	0	9
