# form	capitalised	lower-case	works — tools/names.py
# proper names the corpus capitalises, reduced to the lemma. They go
# in as `np`, so the nominal track and nothing else.
құдайға	212	43	52
кәлен	38	0	1
мұхамед	37	0	1
сібірге	33	0	4
әлжан	33	0	1
дәмеш	31	2	1
еламанның	31	0	2
қасымның	31	1	2
асқардың	28	1	4
мағаш	28	0	4
құлагер	28	8	1
итбай	26	0	1
назымның	26	0	2
асанның	25	0	3
дәметкен	25	11	3
көрұғлы	25	0	4
тянь	25	2	1
баянның	24	0	3
раушанның	24	1	1
қоспан	23	2	1
айғаным	22	1	1
көзімнің	22	32	9
қазаққа	22	123	10
есеней	21	0	1
одағы	21	17	6
тайман	21	2	1
таһир	21	0	3
тәңірберген	21	0	1
қаншайым	21	0	2
қасболат	21	1	1
қытайда	21	1	2
әділдің	21	0	2
әлиге	21	0	4
баһрам	20	0	2
бәкең	20	0	3
жамалды	20	0	1
күрсіні	20	1	2
жылқыбай	19	0	2
кәкітай	19	0	3
алтайға	18	0	1
алшағыр	18	0	4
биғайша	17	0	1
гүлсім	17	0	3
жоламан	17	0	1
имаш	17	0	2
сәрсекем	17	0	1
қарлыға	17	5	5
әлиді	17	0	6
ақтамберді	16	0	2
балағаз	16	0	2
дәмежан	16	1	1
нұрымның	16	1	1
нұрғали	16	0	1
алтайда	15	0	1
бектас	15	0	1
жұманның	15	0	1
мырқал	15	0	1
тұрар	15	139	21
тұрар	15	139	21
шығыста	15	12	2
әміржан	15	0	1
балташ	14	0	2
далабай	14	0	1
жамалға	14	0	1
жұманға	14	0	2
маңғ	14	0	1
омбыға	14	6	1
садуақас	14	0	2
сақыш	14	1	1
тақийа	14	0	1
шалматай	14	0	1
қуандық	14	6	4
қуандық	14	6	4
аманды	13	1	1
байтабын	13	1	1
баянға	13	1	3
курнос	13	0	1
кәрімнің	13	1	5
президенттің	13	0	4
сарыбала	13	0	1
анамның	12	31	5
батырбай	12	0	1
битабар	12	0	1
есілдің	12	0	1
иранда	12	0	2
күреңбай	12	0	1
кәрібай	12	0	3
