# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates held back for being one letter from an entry. Most are
# that entry misspelt; some are words with an unlucky neighbour.
шаба	37	24	200	651
жиды	4	3	52	562
нең	10	5	185	555
жия	16	21	584	538
қаупі	13	14	396	492
қауып	20	10	82	491
был	11	9	33	437
япыр	4	4	168	413
мой	3	3	17	341
рахым	30	27	296	310
пор	7	6	47	309
мамыражай	4	3	10	280
кішірек	4	3	27	262
свет	5	3	6	259
міс	5	4	17	258
план	29	20	233	256
езі	8	8	206	245
әркез	5	3	42	237
інген	31	22	332	223
край	5	4	18	216
книга	5	4	16	210
дед	6	3	9	208
сила	15	16	86	206
права	4	3	10	201
срок	10	4	19	190
света	8	8	37	189
астрахань	13	8	102	187
рек	14	9	96	184
скот	5	3	16	183
оныкі	3	3	11	183
көнбес	15	10	193	174
ильич	19	10	132	167
байқұс	14	8	85	166
союз	19	10	54	165
сей	18	13	48	163
школа	17	11	45	156
сөнбес	7	4	31	156
сиқын	6	3	11	155
статья	34	24	187	152
тоқтамыс	12	7	75	151
балқан	9	6	74	151
шаг	4	3	11	148
қараш	23	16	86	147
әбділда	11	10	79	146
нес	4	4	28	146
итак	3	3	7	146
член	10	5	16	144
форм	6	6	21	143
түсінбес	6	3	61	142
сарыала	3	3	8	142
досан	12	8	74	141
қаракерей	4	3	19	139
ырғыз	15	7	86	138
школ	47	24	244	134
ыржия	3	3	37	131
реке	5	5	32	130
сыңаржақ	23	12	81	128
гегель	23	15	284	127
ыққан	8	4	19	127
сәке	12	14	237	126
пер	27	22	332	124
шань	15	9	76	120
яссауи	10	7	52	120
победа	4	4	15	120
пәлекет	18	11	71	119
темірхан	6	5	46	119
алынбас	6	3	26	118
тағлым	15	10	88	117
қубас	15	8	43	117
қарашаш	15	7	102	116
зылиха	12	10	101	116
арыслан	11	9	88	115
сибирь	9	6	56	113
награда	33	22	191	111
ивановна	5	5	81	111
бекен	6	5	45	110
рақ	3	3	13	109
сек	19	9	55	107
атығай	9	6	39	107
отдел	6	3	6	107
хүкім	20	20	153	105
үргеніш	15	7	187	103
мағауин	8	5	57	103
қобда	10	10	106	101
плен	5	4	20	101
ғабдолла	5	5	31	99
поселка	21	16	98	98
пауза	10	8	48	98
участке	18	13	37	98
ылаж	24	16	202	97
рум	17	10	80	97
мұхамед	9	4	62	97
культ	12	7	25	97
мон	13	9	21	97
бег	5	3	8	97
сәна	17	17	140	96
жеңбек	9	6	24	94
шәкен	11	8	49	93
әнет	6	3	25	92
жеменей	17	12	81	91
алқакөл	12	5	18	91
қадиша	13	10	114	90
мұқаш	15	7	44	90
поль	7	3	7	90
валиханов	3	4	106	89
шорман	9	8	94	88
иль	5	3	14	88
юга	8	7	22	87
рос	7	3	12	87
қапал	15	7	70	86
қаражан	8	7	62	86
мұхаметжан	5	4	25	86
кұс	30	17	143	85
қазбек	16	8	49	85
шеркеш	23	11	74	84
пристав	40	20	150	83
әбеке	11	14	329	82
бөкенбай	7	6	53	82
самарқанд	13	7	86	81
әбен	13	10	67	81
бейсен	8	6	64	81
ағыбай	9	7	58	81
өліара	9	8	54	81
бия	4	4	52	81
жанбас	3	4	35	81
дав	3	3	6	81
тыңла	28	28	268	80
реу	16	12	126	80
еркетотай	21	12	41	80
гейне	5	5	40	80
мақаш	11	5	38	80
қареке	11	13	92	79
юсуф	8	4	28	79
созі	3	3	11	78
