# form	pos	sources — entries in no book, holding up nothing
# tools/prune.py
а-а-а	?	kazdict
а-сды	?	kazdict
а-ха-ха	?	kazdict
а-шды	?	kazdict
аа-ғайб	?	kazdict
абаданлик	?	kazdict
абаданшылық	?	kazdict
абазиндер	n	kazdict
абазия	n	apertium
абай-қоқай	n	kazdict
абайланқыра	v	kazdict
абайлату	?	kazdict
абайма	n	kazdict
абалаков	np	apertium
абаласу	?	kazdict
абалату	?	kazdict
абалау	?	baseline,kazdict
абалақ-сабалақ	adj	apertium,kazdict
абалақта	v-intrans	apertium,kazdict
абалақтай	adj	apertium,kazdict
абалақтау	?	kazdict
абалоне	n	apertium
абана	n	apertium,kazdict
абандон	n	apertium,kazdict
абаттандырыл	?	kazdict
абаттандырылу	?	kazdict
абаттау	?	kazdict
абаттық	n	apertium,baseline,kazdict
абатшылық	n	apertium,baseline,kazdict
абағай	n	kazdict
абағайлау	v	kazdict
абаған	n	kazdict
абақоңыр	adj	apertium,kazdict
абақтыгер	n	kazdict
аббревиация	n	apertium
абгора	n	apertium
абдал-абәдгече	?	kazdict
абданлық	n	apertium,kazdict
абдап	?	kazdict
абдесте	n	kazdict
абдикация	n	apertium,kazdict
абдо	np	apertium
абдомен	n	apertium
абдоминалдық	adj	apertium
абдрашитов	np	apertium
абдужапаров	np	apertium
абдуктор	n	apertium
абдукция	n	apertium
абдукциялық	adj	apertium
абдулатипов	np	apertium
абдыра-сандық	n	apertium,kazdict
абдырадай	adj	apertium,kazdict
абдырап-дабдырап	adv	apertium,kazdict
абдырасу	?	kazdict
абдырауық	adj	apertium,kazdict
абдырағыш	adj	apertium,kazdict
абдырия	n	apertium,kazdict
абдырық	n	kazdict
абдық	v	kazdict
абердин	np	apertium
абердор	np	apertium
абжауқын	adj+adv	apertium,baseline,kazdict
абильдинов	np	apertium
абиотикалық	adj	apertium
абира	np	apertium
абиссаль	adj	apertium
абиссинии	np	apertium
абиырсыздық	n	baseline,kazdict
абйат	?	kazdict
аблатив	?	kazdict
аблаут	?	kazdict
аблаңқы	?	kazdict
аблығу	v	kazdict
аблықтыр	v	kazdict
аблякимов	np	apertium
абляция	n	apertium,kazdict
аболиционист	n	apertium
аболиция	?	kazdict
абонементтік	adj	apertium,baseline,kazdict
абоненттік	adj	apertium,baseline,kazdict
абразив	?	kazdict
абрай-әжет	?	kazdict
абриал	np	apertium
абрикотин	?	kazdict
абрил	np	apertium
аброгация	?	kazdict
абрумов	np	apertium
абруццо	np	apertium
абсанс	n	kazdict
абсиех	np	apertium
абсолютивті	adj	apertium
абсолютшілдік	n	kazdict
абсорбент	adj+n	apertium
абсорбциялан	v-intrans	apertium
абстиненция	?	kazdict
абстрактілендір	v	kazdict
абстракциялаушы	?	baseline
абстстракционизм	n	apertium
абсцисса	n	apertium
абуджа	np	apertium
абудйит	?	kazdict
абулия	?	kazdict
абутилен	n	kazdict
абуқабис	?	kazdict
абыдды	?	kazdict
абыды	?	kazdict
абыздану	?	kazdict
абыздылық	n	kazdict
абызсын	v	baseline,kazdict
абызсыну	?	kazdict
абызтөбе	np	apertium
абызшылап	adv	kazdict
абыл-сабыл	adv	kazdict
абыл-құбыл	adv	kazdict
абылайкит	np	apertium
абылау	v	kazdict
абылаңқы	adj+n	baseline,kazdict
абылып-сабылу	?	kazdict
абылып-сабылып	adv+v	kazdict
абылығу	?	kazdict
абылық	v	kazdict
абылықтыру	?	kazdict
абылыңқы	adj	baseline,kazdict
абылыңқы-сабылыңқы	?	kazdict
абыну	?	kazdict
абынып-қабын	v	kazdict
абынып-қабыну	?	kazdict
абыр-гүбір	n	kazdict
абыр-дабыр	n	kazdict
абыр-дүбір	?	kazdict
абыр-дұбыр	?	kazdict
абыр-жұбыр	adv	kazdict
абыр-күбір	n	kazdict
абыр-сабыр	n	apertium,kazdict
абыр-тобыр	adv	kazdict
абырайлы	?	kazdict
абыржушыльқ	?	kazdict
абыржысу	?	kazdict
абыржығыш	?	kazdict
абыржыңқырау	?	kazdict
абыри	?	kazdict
абырой-атақ	n	kazdict
абырой-бедел	?	kazdict
абыройсыздан	v	baseline,kazdict
абыройсыздану	?	baseline,kazdict
