# slot	form	status — apertium-kaz has this form for this slot;
# `missing` means the template does not have it at all,
# `filed-under` means we hold it in a different slot
bolymsyz	бас	filed-under:esimshe
bolymsyz	бақ	filed-under:esimshe
bolymsyz	бек	filed-under:esimshe
bolymsyz	бес	filed-under:esimshe
bolymsyz	ген	filed-under:esimshe
bolymsyz	кен	filed-under:esimshe
bolymsyz	мас	filed-under:esimshe
bolymsyz	мақ	filed-under:esimshe
bolymsyz	мек	filed-under:esimshe
bolymsyz	мес	filed-under:esimshe
bolymsyz	пас	filed-under:esimshe
bolymsyz	пақ	filed-under:esimshe
bolymsyz	пек	filed-under:esimshe
bolymsyz	пес	filed-under:esimshe
bolymsyz	ған	filed-under:esimshe
bolymsyz	қан	filed-under:esimshe
esimshe	а	filed-under:barys_px,kosemshe
esimshe	гі	filed-under:attr,rai,sozjasam
esimshe	е	filed-under:barys_px,kosemshe
esimshe	й	filed-under:kosemshe
esimshe	кі	filed-under:attr,rai,sozjasam
esimshe	у	filed-under:tuiyq
esimshe	ып	filed-under:kosemshe
esimshe	іп	filed-under:kosemshe
esimshe	ғы	filed-under:attr,rai,sozjasam
esimshe	қы	filed-under:attr,rai,sozjasam
koptik	к	missing
koptik	қ	missing
koptik	быз	filed-under:jiktik_n,jiktik_v
koptik	біз	filed-under:jiktik_n,jiktik_v
koptik	ды	filed-under:jiktik_v,shaq,sozjasam,tabys
koptik	ді	filed-under:jiktik_v,shaq,sozjasam,tabys
koptik	мыз	filed-under:jiktik_n,jiktik_v,tauelik
koptik	міз	filed-under:jiktik_n,jiktik_v,tauelik
koptik	пыз	filed-under:jiktik_n,jiktik_v
koptik	піз	filed-under:jiktik_n,jiktik_v
koptik	сы	filed-under:tauelik
koptik	сыздар	filed-under:jiktik_n,jiktik_v
koptik	сыңдар	filed-under:jiktik_n,jiktik_v
koptik	сі	filed-under:tauelik
koptik	сіздер	filed-under:jiktik_n,jiktik_v
koptik	сіңдер	filed-under:jiktik_n,jiktik_v
koptik	ты	filed-under:shaq,sozjasam,tabys
koptik	ті	filed-under:shaq,sozjasam,tabys
koptik	ңдар	filed-under:rai,tauelik
koptik	ңдер	filed-under:rai,tauelik
koptik	ңыздар	filed-under:tauelik
koptik	ңіздер	filed-under:tauelik
rai	ың	filed-under:tauelik
rai	ің	filed-under:tauelik
septik	нікін	missing
septik	бен	filed-under:komektes
septik	бенен	filed-under:komektes
septik	ге	filed-under:barys
septik	да	filed-under:etis_jasam,jatys
septik	дан	filed-under:etis_jasam,shygys
septik	де	filed-under:etis_jasam,jatys
septik	ден	filed-under:etis_jasam,shygys
septik	ды	filed-under:jiktik_v,shaq,sozjasam,tabys
septik	дың	filed-under:ilik
septik	ді	filed-under:jiktik_v,shaq,sozjasam,tabys
septik	дікі	filed-under:tauelik_of
septik	дің	filed-under:ilik
septik	ке	filed-under:barys
septik	мен	filed-under:komektes
septik	менен	filed-under:komektes
septik	ны	filed-under:tabys
septik	ның	filed-under:ilik
septik	ні	filed-under:tabys
septik	нікі	filed-under:tauelik_of
septik	нің	filed-under:ilik
septik	пен	filed-under:komektes
septik	пенен	filed-under:komektes
septik	та	filed-under:etis_jasam,jatys
septik	тан	filed-under:etis_jasam,shygys
septik	те	filed-under:etis_jasam,jatys
septik	тен	filed-under:etis_jasam,shygys
septik	ты	filed-under:shaq,sozjasam,tabys
septik	тың	filed-under:ilik
septik	ті	filed-under:shaq,sozjasam,tabys
septik	тікі	filed-under:tauelik_of
septik	тің	filed-under:ilik
septik	ға	filed-under:barys
septik	қа	filed-under:barys
shaq	а	filed-under:barys_px,kosemshe
shaq	ар	filed-under:esimshe
shaq	бақ	filed-under:esimshe
shaq	бек	filed-under:esimshe
shaq	ген	filed-under:esimshe
shaq	е	filed-under:barys_px,kosemshe
shaq	ер	filed-under:esimshe
shaq	й	filed-under:kosemshe
shaq	кен	filed-under:esimshe
shaq	мақ	filed-under:esimshe
shaq	мек	filed-under:esimshe
shaq	пақ	filed-under:esimshe
shaq	пек	filed-under:esimshe
shaq	ып	filed-under:kosemshe
shaq	іп	filed-under:kosemshe
shaq	ған	filed-under:esimshe
shaq	қан	filed-under:esimshe
tauelik	дар	filed-under:koptik
tauelik	дер	filed-under:koptik
tauelik	сын	filed-under:rai
tauelik	сін	filed-under:rai
tauelik	ын	filed-under:etis_pass,etis_refl
tauelik	ін	filed-under:etis_pass,etis_refl
tuiyq	атын	filed-under:esimshe
tuiyq	ген	filed-under:esimshe
tuiyq	етін	filed-under:esimshe
tuiyq	йтын	filed-under:esimshe
tuiyq	йтін	filed-under:esimshe
tuiyq	кен	filed-under:esimshe
tuiyq	ған	filed-under:esimshe
tuiyq	қан	filed-under:esimshe
